id,Clone,Treatment,group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
12,21,C,21_C,0.08866001,-0.129114777,-0.056662644,0.069322331,0.002169207,0.032374149,-0.179357256,0.009599211,0.017940521,-0.000157624,0.026198009,0.014620807,-0.027491551,0.109498485,0.018368542,0.037774631,-0.012164435,-0.026294111,-0.107989844,0.016542427,0.023371424,0.039916681,-0.023795086,-0.062613495,0.015118889,-0.000458196,-0.031200281,-0.078608193,-0.031635677,0.001736417,0.039458784,-0.025960701,0.02202536,-0.011894643,-0.002585081
13,24,C,24_C,0.138155505,-0.044474728,-0.013099843,0.234636668,-0.061977522,0.089854828,0.086724078,-0.01039804,0.108255762,0.026367663,0.053656177,-0.023121316,0.093692774,-0.055151458,-0.039278526,-0.006006966,-0.042058623,-0.027590488,-0.017897463,0.0065526,-0.019102111,-0.031324108,-0.035781232,-0.031651694,0.093647607,0.013590647,0.034465116,0.029112507,-0.039590445,0.029627603,0.002978038,0.024993717,-0.005482132,-0.018673531,-0.007139404
14,25,C,25_C,-0.172868622,-0.048291195,-0.061047307,-0.023584775,-0.028582634,0.10090826,-0.029826609,-0.141796311,0.014752343,-0.024046689,-0.0120574,0.039104106,-0.027385484,0.022651894,0.120937722,0.092962742,0.050370154,-0.013695522,0.028401159,0.021896623,-0.037394116,-0.03490305,0.028199971,0.01465582,0.00586576,0.035392847,-0.039839579,0.027258181,0.001420343,0.085693729,-0.003805086,0.0044054,0.014344921,0.002055995,0.009539721
15,26,C,26_C,0.151206439,0.188676341,-0.076020502,0.068176926,0.059170833,-0.007275058,-0.049113097,0.045825784,-0.01409338,-0.045933485,-0.023242472,0.006876898,-0.04632941,0.073532009,-0.033787164,-0.054164651,0.025906487,0.003255688,0.022742658,0.01318161,-0.034912193,-0.006839109,0.067269197,0.00827224,-0.014439439,0.050741084,-0.048175069,0.01233406,-0.001251774,-0.035174658,0.014934201,0.033966329,0.024851109,-0.005212849,0.006964517
16,27,C,27_C,0.062534892,-0.037022291,0.054543974,0.063664266,0.001028201,0.069379194,0.036668792,-0.051274892,0.041338269,0.042341078,-0.022860312,-0.016150062,-0.057101082,-0.004376368,0.093926493,0.030146415,-0.05049305,0.046716067,-0.072562219,0.01004321,-0.092465598,0.083685555,0.056345978,-0.012139991,-0.030348828,-0.048154281,0.0337599,0.002195914,-0.015986428,-0.048418335,-0.020292871,-0.003273807,-0.019320035,0.012983672,-0.003570685
17,28,C,28_C,-0.086791459,0.096109084,-0.06758368,0.022577658,-0.065004966,0.085834684,-0.030075354,-0.03104456,0.00843893,-0.041384023,-0.035098491,-0.111190176,0.079110978,0.034006001,-0.114908487,0.010880483,-0.008120018,0.033774484,-0.058727637,0.096118973,0.03543233,-0.033239259,0.001447253,-0.027550747,-0.085848008,-0.011669438,0.007988665,0.058104906,-0.019487787,0.011179912,-0.016854405,-0.047481979,-0.000593237,0.008801132,0.004734276
18,3,C,3_C,0.016683312,-0.117878999,-0.255480725,-0.010413137,0.0584905,0.073410379,-0.104083993,-0.074728928,0.020566437,-0.108327449,0.047189667,0.175996537,0.016247087,-0.035743142,-0.059324021,0.001513886,0.020905464,-0.041226807,0.031634967,0.031510106,0.064564476,0.0235006,0.022057047,0.035265934,-0.008103732,0.022472352,0.049178273,0.016999086,0.021669946,-0.034601277,0.018688599,-0.003495062,-0.013663214,0.004599047,-0.007694809
19,4,C,4_C,-0.084066728,0.073117354,0.083034176,-0.127300867,-0.126413,-0.007780296,0.075521686,0.10895075,0.052139625,-0.034598627,-0.038149275,0.00466402,-0.027961034,-0.020211393,-0.036908007,-0.017205305,-0.036725602,-0.000428288,0.017550784,0.066251552,0.0351532,0.052197145,-0.031064704,-0.013664177,0.023778401,0.043934304,-0.043174921,0.01478096,-0.011117857,-0.003359788,0.042321565,0.025619026,-0.005929999,0.01305164,-0.002776872
20,9,C,9_C,0.046380996,-0.170306647,0.150318377,0.034059907,0.061633636,0.048078905,-0.052758459,0.067162285,-0.011442841,-0.088611188,-0.062461422,0.016957204,0.011571368,0.009722965,-0.058792242,-0.011729542,0.071913257,-0.08412208,0.000155842,-0.051592448,-0.098990737,0.046590639,-0.070123021,-0.069085529,-0.019448173,-0.041060288,-0.014537699,0.057286951,0.05313338,0.000982876,-0.00140491,0.013494354,0.004136754,0.001665652,0.003341529
21,1,G,1_G,0.081762467,-0.086554886,0.039663241,-0.207421609,0.152207867,0.117239254,0.081264467,-0.153309093,-0.10691364,0.00746713,0.138375262,-0.130118012,-0.001818398,0.029296596,-0.00939453,-0.078356502,0.025297175,0.006366839,0.017231993,-0.040243984,0.045463793,0.044439643,-0.043687642,-0.02179345,-0.023091138,0.003797927,-0.001966211,-0.015732938,-0.015021311,0.019158823,0.018937383,0.013881018,-0.011639916,0.001724075,-0.003148374
22,11,G,11_G,0.190368795,0.192327383,-0.137232904,-0.077800796,0.029462723,-0.045377722,-0.010833891,-0.05380409,-0.041519664,0.000968054,-0.043462863,-0.015737875,-0.063704216,-0.047885728,0.036206048,-0.014473688,-0.087823874,-0.089536612,-0.108854805,-0.028740091,0.071756837,-0.057296652,-0.018856154,0.010113597,0.047869065,-0.071440054,-0.028365577,0.036167077,0.016789307,-0.009524814,-0.001959274,0.015559222,-0.002191666,0.004813152,0.012835277
23,12,G,12_G,-0.095708029,0.238299285,-0.135531855,0.022014675,-0.005341005,-0.029829831,-0.002450283,-0.033113463,0.021256437,-0.071648226,0.075314489,0.083932613,0.009938365,-0.02735845,0.04821384,-0.028548795,0.09906817,0.001530032,0.004238323,-0.08682302,-0.008635866,0.007028319,-0.035481542,0.004397398,-0.018517199,-0.041326577,0.01120296,0.011630291,-0.064079274,-0.012263242,-0.032297652,-0.009048688,0.004082041,-0.005997072,-0.002159556
24,13,G,13_G,0.045829884,-0.090503367,-0.279456385,-0.01474859,0.134545195,-0.080181948,0.016308116,0.002061788,0.059701587,0.097182439,0.000916093,-0.123767556,0.000118317,0.078367232,-0.009769885,0.049183953,-0.000387815,0.016735991,0.101982095,-0.006906862,-0.02661783,-0.065836339,0.012625579,-0.038840376,-0.00119738,-0.029821197,-0.009136397,0.009195729,0.026371297,-0.02493096,-0.003382494,-0.001011159,5.0949793539506e-05,-0.009334008,-0.002383538
25,14,G,14_G,0.388357505,0.22061837,0.007510119,0.012036849,0.078520944,-0.009995174,0.142296035,-0.018464413,0.097177131,0.047311735,0.048002243,0.064790492,-0.001318835,0.048368748,0.044941033,0.029714185,-0.020169333,-0.008315858,0.020982582,0.056813758,-0.006688252,0.016170741,-0.044657418,-0.016306455,-0.039653856,0.044028758,0.06336789,-0.017396703,0.04218855,0.005904348,0.003431114,-5.55E-05,0.016784427,0.007020796,0.007570752
26,16,G,16_G,-0.132482306,-0.02139549,-0.035542727,-0.111095694,-0.08516547,0.059339877,0.025983388,0.131462896,0.121961903,0.025222848,0.031885415,0.088448021,-0.04945575,0.077025791,-0.014810599,-0.06869972,-0.035024218,0.005954052,-0.035695559,-0.007502751,-0.010485661,-0.063733706,-0.044495371,0.013507218,-0.078798727,-0.006861304,-0.023406135,-0.039137699,0.007984892,0.020396219,-0.045368346,0.023062822,-0.026032574,-0.013983352,-0.002634217
